Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,label,class
C11orf91,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,2,0,0
MRPL20,0,1,0,1,1,0,0,0,12,23,0,1,0,14,0,0,1,0,0,52,0,48,6.681498285,2.688949838,20.72755905,8.098032083,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.057448524,0.001383021,1,1337277,1342693,1736268,273,3.05E-06,0.58698,0.02767526,33,48.05405,84.59459,0.8479086,204.5738,47.36721,49.38187,5.05E-05,28,1.533333333,0,0
KCTD2,0,14,0,0,2,0,0,0,0,40,4,0,0,14,1,0,2,0,0,73,0,66,6.681498285,2.688949838,20.08380392,7.426264755,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,17,73043279,73061979,1111289,171,2.59E-06,0.51296,0.03071818,30,50.2973,90.78378,0.7243343,83.72459,4.15082,49.84947,1.08E-05,8,3,0,0
MIR380,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,11,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
AADACL4,0,7,0,0,0,1,0,0,1,106,7,0,0,45,3,0,0,1,0,169,0,142,0.207728751,0.253707188,17.14991578,8.829722735,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,1,12704566,12727096,145424,454,4.29E-06,0.48353,0.02278783,15,53,99.43243,0.91991,176.6918,30.66557,49.88164,0.000152065,24.91374182,2.543478261,0,0
NINL,0,14,0,0,16,2,0,0,9,272,13,0,0,101,2,0,16,4,0,409,0,324,6.681498285,2.688949838,19.22624331,8.829722735,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,20,25433338,25566153,613303.2,454,5.25E-06,0.46951,-0.02598634,10,49.94595,88.24324,0.8531242,133.4426,17.7541,54.94226,0.000206513,55,2.833333333,0,0
TMED5,0,22,0,4,1,0,0,0,1,27,1,0,0,8,4,0,2,0,0,66,0,63,6.681498285,2.688949838,19.21590455,8.689997971,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.091068384,0.002514668,1,93615299,93646246,608923.8,412,1.83E-06,0.37621,0.01043817,10,41.08108,83.05405,0.8974105,109.9246,11.78361,45.45167,1.09E-07,2,3.555555556,0,0
ZNF460,0,10,0,8,3,2,0,0,0,97,11,0,0,33,0,0,3,4,0,157,0,138,6.681498285,2.688949838,18.67880368,9.74819285,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,19,57791853,57805436,419642.2,859,3.88E-06,0.440135,-0.03983569,17,53.35135,96.54054,0.9479799,134.518,15.45246,48.05015,1.76E-05,10,3.235294118,0,0
TRIM14,0,31,0,0,2,0,0,0,0,38,1,0,0,25,2,1,2,0,0,98,0,87,6.681498285,2.688949838,18.88655039,8.092757141,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.023711524,0.002527131,9,100831569,100881488,484637.8,272,2.23E-06,0.44906,0.0483658,14,46.16216,85.08108,0.8778265,109.6721,13.51475,50.97523,0,1,1.576923077,0,0
FKBPL,0,1,0,1,3,0,0,0,0,57,7,0,0,11,0,0,3,0,0,77,0,69,6.681498285,2.688949838,21.04948764,7.813781191,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.084227109,0.000633959,6,32096487,32098067,2170336,224,2.42E-06,0.54778,0.03234989,60,51.91892,97.40541,0.9971985,236.5016,42.72459,54.68883,2.72E-05,15,5.333333333,0,0
